"country","indicator","Unit","Date","Value"
"Afghanistan","GDP per capita","score","2017","0.331814259290695"
"Afghanistan","Social support","score","2017","0.537191331386566"
"Afghanistan","Happiness Score","Scale, 0=Low ; 10=High","2017","3.63150000572205"
"Afghanistan","Healthy life expectancy","score","2017","0.254771560430527"
"Afghanistan","Dystopia (1.88) + residual","score","2017","2.1959183216095"
"Afghanistan","Whisker-high","score","2017","3.71452529236674"
"Afghanistan","Whisker-low","score","2017","3.54847471907735"
"Afghanistan","Freedom to make life choices","score","2017","0.0845517739653587"
"Afghanistan","Generosity","score","2017","0.191003918647766"
"Afghanistan","Perceptions of corruption","score","2017","0.0362676978111267"
"Afghanistan","Life Ladder","score","2017","2.66171813011169"
"Afghanistan","Log GDP per capita","score","2017","7.49775457382202"
"Afghanistan","Social support","score","2017","0.490880072116852"
"Afghanistan","Healthy life expectancy at birth","years","2017","52.7999992370605"
"Afghanistan","Freedom to make life choices","score","2017","0.427010864019394"
"Afghanistan","Generosity","score","2017","-0.112198285758495"
"Afghanistan","Perceptions of corruption","score","2017","0.954392552375793"
"Afghanistan","Positive affect","score","2017","0.496348559856415"
"Afghanistan","Negative affect","score","2017","0.371326178312302"
"Afghanistan","Confidence in national government","score","2017","0.261178523302078"
"Afghanistan","Democratic Quality","score","2017","-1.8865659236908"
"Afghanistan","Delivery Quality","score","2017","-1.43780755996704"
"Afghanistan","Standard deviation of ladder by country-year","score","2017","1.45405077934265"
"Afghanistan","Standard deviation/Mean of ladder by country-year","score","2017","0.546282768249512"
"Afghanistan","gini of household income reported in Gallup, by wp5-year","score","2017","0.286598861217499"
"Albania","GDP per capita","score","2017","0.915782332420349"
"Albania","Social support","score","2017","0.817404687404633"
"Albania","Happiness Score","Scale, 0=Low ; 10=High","2017","4.58599996566772"
"Albania","Healthy life expectancy","score","2017","0.790387153625488"
"Albania","Dystopia (1.88) + residual","score","2017","1.46214771270752"
"Albania","Whisker-high","score","2017","4.69539302870631"
"Albania","Whisker-low","score","2017","4.47660690262914"
"Albania","Freedom to make life choices","score","2017","0.41866934299469"
"Albania","Generosity","score","2017","0.14921273291111"
"Albania","Perceptions of corruption","score","2017","0.0324355699121952"
"Albania","Life Ladder","score","2017","4.63954830169678"
"Albania","Log GDP per capita","score","2017","9.376145362854"
"Albania","Social support","score","2017","0.637698292732239"
"Albania","Healthy life expectancy at birth","years","2017","68.4000015258789"
"Albania","Freedom to make life choices","score","2017","0.749611020088196"
"Albania","Generosity","score","2017","-0.0326428152620792"
"Albania","Perceptions of corruption","score","2017","0.876134634017944"
"Albania","Positive affect","score","2017","0.669240891933441"
"Albania","Negative affect","score","2017","0.333884119987488"
"Albania","Confidence in national government","score","2017","0.457737535238266"
"Albania","Democratic Quality","score","2017","0.299944996833801"
"Albania","Delivery Quality","score","2017","-0.130315467715263"
"Albania","Standard deviation of ladder by country-year","score","2017","2.68210482597351"
"Albania","Standard deviation/Mean of ladder by country-year","score","2017","0.578096091747284"
"Albania","GINI index (World Bank estimate), average 2000-16","score","2017","0.30325"
"Albania","gini of household income reported in Gallup, by wp5-year","score","2017","0.410487979650497"
"Albania","Most people can be trusted, WVS round 1994-1998","score","2017","0.243243247270584"
"Albania","Most people can be trusted, WVS round 1999-2004","score","2017","0.23199999332428"
"Algeria","GDP per capita","score","2017","0.978857398033142"
"Algeria","Social support","score","2017","1.15365600585938"
"Algeria","Happiness Score","Scale, 0=Low ; 10=High","2017","5.29460000991821"
"Algeria","Healthy life expectancy","score","2017","0.686598539352417"
"Algeria","Dystopia (1.88) + residual","score","2017","2.20853471755981"
"Algeria","Whisker-high","score","2017","5.40649052351713"
"Algeria","Whisker-low","score","2017","5.18270949631929"
"Algeria","Freedom to make life choices","score","2017","0.0772797837853432"
"Algeria","Generosity","score","2017","0.0551946423947811"
"Algeria","Perceptions of corruption","score","2017","0.134516581892967"
"Algeria","Life Ladder","score","2017","5.24891233444214"
"Algeria","Log GDP per capita","score","2017","9.54063892364502"
"Algeria","Social support","score","2017","0.806753873825073"
"Algeria","Healthy life expectancy at birth","years","2017","65.6999969482422"
"Algeria","Freedom to make life choices","score","2017","0.436670482158661"
"Algeria","Generosity","score","2017","-0.191522106528282"
"Algeria","Perceptions of corruption","score","2017","0.699774205684662"
"Algeria","Positive affect","score","2017","0.64197963476181"
"Algeria","Negative affect","score","2017","0.288710027933121"
"Algeria","Democratic Quality","score","2017","-0.927691161632538"
"Algeria","Delivery Quality","score","2017","-0.816839098930359"
"Algeria","Standard deviation of ladder by country-year","score","2017","2.03976464271545"
"Algeria","Standard deviation/Mean of ladder by country-year","score","2017","0.388607114553452"
"Algeria","GINI index (World Bank estimate), average 2000-16","score","2017","0.276"
"Algeria","gini of household income reported in Gallup, by wp5-year","score","2017","0.527555763721466"
"Algeria","Most people can be trusted, WVS round 1999-2004","score","2017","0.107644304633141"
"Algeria","Most people can be trusted, WVS round 2010-2014","score","2017","0.179286330938339"
"Angola","GDP per capita","score","2017","0.730156660079956"
"Angola","Social support","score","2017","1.12502038478851"
"Angola","Happiness Score","Scale, 0=Low ; 10=High","2017","3.79480004310608"
"Angola","Healthy life expectancy","score","2017","0.268985629081726"
"Angola","Dystopia (1.88) + residual","score","2017","1.53053092956543"
"Angola","Whisker-high","score","2017","3.95144190222025"
"Angola","Whisker-low","score","2017","3.63815818399191"
"Angola","Freedom to make life choices","score","2017","0"
"Angola","Generosity","score","2017","0.0788681730628014"
"Angola","Perceptions of corruption","score","2017","0.0612761490046978"
"Argentina","GDP per capita","score","2017","1.07267069816589"
"Argentina","Social support","score","2017","1.46834146976471"
"Argentina","Happiness Score","Scale, 0=Low ; 10=High","2017","6.38800001144409"
